Date,Open,High,Low,Close,Volume,VWAP
,TCS.BO,TCS.BO,TCS.BO,TCS.BO,TCS.BO,
2020-05-13,1999.0,1999.0,1926.300048828125,1949.449951171875,63153,378.9234556672464
2020-05-14,1922.0,1922.4000244140625,1892.0,1900.800048828125,67890,378.96080419947003
2020-05-15,1908.0,1919.0,1867.0,1893.300048828125,72171,379.00031018160996
2020-05-18,1901.0,1949.449951171875,1873.5999755859375,1944.8499755859375,97858,379.0556972016977
2020-05-19,1869.5,1965.800048828125,1869.5,1948.25,547420,379.3661339015027
2020-05-20,1945.199951171875,1963.0999755859375,1932.800048828125,1952.449951171875,68859,379.4052790047075
2020-05-21,1952.800048828125,1997.0,1942.050048828125,1991.550048828125,73577,379.4481436698072
2020-05-22,1973.0,2030.0,1966.0,2018.949951171875,84400,379.4981464809543
2020-05-26,2020.0,2022.0,1925.0,1943.3499755859375,111751,379.56129592879216
2020-05-27,1956.0999755859375,2010.0,1941.199951171875,2005.0999755859375,85566,379.6115542118079
2020-05-28,1996.699951171875,2013.0,1971.25,2005.199951171875,110455,379.6764307618521
2020-05-29,1995.0,2002.3499755859375,1962.9000244140625,1971.550048828125,222964,379.80466385641995
2020-06-01,1995.0,2060.0,1982.0,2044.6500244140625,129607,379.8826179297422
2020-06-02,2054.89990234375,2081.0,2040.0,2046.9000244140625,74927,379.927741471263
2020-06-03,2047.1500244140625,2064.0,2019.5999755859375,2045.3499755859375,96580,379.9858474881318
2020-06-04,2045.3499755859375,2100.0,2045.3499755859375,2093.89990234375,115956,380.05763908612244
2020-06-05,2093.89990234375,2094.949951171875,2040.9000244140625,2048.10009765625,133484,380.13806698569823
2020-06-08,2073.0,2095.0,2062.60009765625,2071.39990234375,248364,380.28978283328706
2020-06-09,2068.89990234375,2096.85009765625,2061.10009765625,2073.35009765625,72244,380.33395964152623
2020-06-10,2073.0,2132.050048828125,2073.0,2108.300048828125,183320,380.4483623827683
2020-06-11,2102.0,2103.75,2062.5,2067.800048828125,80173,380.4972177786696
2020-06-12,2009.0,2049.0,2009.0,2038.699951171875,94325,380.55370216814447
2020-06-15,2040.0,2058.0,2000.5999755859375,2030.050048828125,70028,380.59541561680095
2020-06-16,2061.0,2072.550048828125,2031.0,2044.949951171875,274912,380.76063060496915
2020-06-17,2042.0,2058.89990234375,2027.6500244140625,2047.75,1555595,381.6964572264129
2020-06-18,2035.050048828125,2059.0,2026.0,2036.800048828125,107922,381.7609163325023
2020-06-22,2045.050048828125,2050.0,2020.0,2028.300048828125,210773,381.8861448139994
